word,wordType,pronunciation,meaning,imageLink,copyright,example
Confirm,verb,/kənˈfɝːm/,Việc đầu tiên trước khi xem phim là xác nhận xem còn phim không,https://www.woculus.com/wp-content/uploads/2016/02/meeting-1020145_640.jpg,Google,I can't confirm the date now
Contact,verb,/ˈkɑːn.tækt/,"Me dặn, đi công tác nhớ liên lạc về nhé con",http://sps.ieeemy.org/wp-content/uploads/2018/04/contact-us-1.png,Google,Contact me when you arrive
Convince,verb,/kənˈvɪns/,Con vịt thuyết phục con cá lên bờ chơi với nó,http://www.personalitytutor.com/files/2012/05/How-to-Convince-Others.jpg,Google,You can't convince me otherwise
Discuss,verb,/dɪˈskʌs/,Mọi người thảo luận cách đi cứu Sơn,https://previews.123rf.com/images/abluecup/abluecup1209/abluecup120901669/15430687-discuss-debate-several-people-are-discussed.jpg,Google,We will discuss this later
Extreme,adverb,/ɪkˈstriːm/,Ếch chê mèo yêu vô cùng,https://s.hswstatic.com/gif/extreme-motor-sports-orig.jpg,Google,There is no need for extreme anger
Hint,noun,/hɪnt/,"Lời gợi ý đằng sau bức hình, và bạn phải tìm ra nó",https://pbs.twimg.com/profile_images/768283357293649920/fOL3v271_400x400.jpg,Google,These hints may identify the killer
Hurry,verb,/ˈhɝː.i/,"Dừng giục tớ nữa, tớ đang hơ con chim ri, nó bị ướt hết người rồi",https://1.bp.blogspot.com/-d8N1DJk1kCY/VtBRBaoIAVI/AAAAAAAAhFg/GkMAesru-Bk/s1600/rushed.jpg,Google,Hurry or you will miss the bus
Include,verb,/ɪnˈkluːd/,Công việc của bin bao gồm cả in cái lu ra giấy,https://www.digopaul.com/wp-content/uploads/related_images/2015/09/08/include_3.jpg,Google,Is dinner included with this package?
Interact,verb,/ˌɪn.t̬ɚˈækt/,Đi in tờ giấy về cách phân loại rác để dễ dàng xử lý là một cách kêu gọi người dùng tương tác với nhau,http://blog.creative-tim.com/wp-content/uploads/2015/11/6a00e54ee3905b883301b8d0d56577970-730x410.jpg,Google,My cats don't like to interact
Need,verb,/niːd/,Nhu cầu của con nít là có thật nhiều đồ chơi,http://laoblogger.com/images/giving-money-to-homeless-clipart-4.jpg,Google,I need to get some sleep
Order,verb,/ˈɔːr.dɚ/,"ơ kìa, sao lại đơ người ra vậy, gọi món đi",https://cdn-images-1.medium.com/max/2000/1*e5XFcJqb57LkJc58TOV4sw.png,Google,I'm going to order a pizza tonight
Postcard,noun,/ˈpoʊst.kɑːrd/,Uống nước cho bớt khát rồi đi tặng bưu thiếp,https://www.nerdmarketing.com/wp-content/uploads/2017/04/32-postcards-chat-app-COVER.jpg,Google,The postcard never arrived
Prepare,verb,/prɪˈper/,"trước khi đi xa, phải đi xe, cần chuẩn bị kỹ lưỡng",https://giasutoeic.com/static/Vocabulary/images/word_images/prepare.jpg,Google,I still need to prepare my lesson plan
Reason,noun,/ˈriː.zən/,Cán bộ đưa ra lý do di dân thật là lực cười,https://seanwes.com/wp-content/uploads/2016/02/242-sp-find-your-why.png,Google,"I have no reason to be upset, but I am"
Stamp,noun,/stæmp/,"Nhân viên sợ con tem lấm lem, sếp sẽ phạt",https://upload.wikimedia.org/wikipedia/commons/6/6f/US_Airmail_inverted_Jenny_24c_1918_issue.jpg,Google,He collects old stamp
Whole,noun,/hoʊl/,Chính quyền hô hào toàn bộ người dân vùng lũ sơ tán,http://2.bp.blogspot.com/--15mAuCM7FA/UYdc-_jWOoI/AAAAAAAACHw/Igi7b_gRaDk/s1600/whole+language+ingles-free.jpg,Google,He ate the strawberry whole
